,value,category
4687, how far is oakland airport from downtown,travel
4688, show me the first flight that arrives in toronto from cincinnati,travel
4689, flights from newark to tampa on friday on us air,travel
4690, okay could you tell me what flight leaves dallas to san francisco by united airline,travel
4691, please list flights from philadelphia to dallas stopping in atlanta,travel
4692, show me the flights from baltimore to dallas,travel
4693, what's the earliest flight leaving denver for pittsburgh,travel
4694, what pm flights are available from philadelphia to pittsburgh,travel
4695, i want a return flight from washington to dallas on american airlines,travel
4696, i'd like to fly nonstop from atlanta to baltimore and get there at 7 pm,travel
4697, what flights from kansas city to denver after 845 in the morning,travel
4698, show me airlines between boston and san francisco,travel
4699, what's the latest flight out of denver that arrives in pittsburgh next monday,travel
4700, which companies fly between boston and oakland,travel
4701, what flights do you have between oakland and boston with a stopover in dallas fort worth,travel
4702, i would like to leave early in the morning,travel
4703, show me flights from denver to atlanta on june sixteenth,travel
4704, show me the itinerary for the connecting flight from dallas fort worth to san francisco that departs dallas fort worth at 1940,travel
4705, i want a flight between oakland and boston that arrives before 5 pm,travel
4706, show me flights from new york to miami,travel
4707, show me flights denver to washington on thursday,travel
4708, what flights leave from atlanta to boston on june twenty ninth in the afternoon,travel
4709, show me the type of aircraft that canadian airlines uses,travel
4710, what are the morning flights from philadelphia to dallas going on american airlines,travel
4711, what does mco stand for,travel
4712, i would like to know some information on flights leaving philadelphia arriving in pittsburgh in the afternoon,travel
4713, us 3724 baltimore to philadelphia what is the round trip fare,travel
4714, is there a 4 o'clock flight from washington dc to denver,travel
4715, list the flights arriving in baltimore from pittsburgh on august third,travel
4716, show me all flights from phoenix to milwaukee on wednesday,travel
4717, i would like information on flights from baltimore to atlanta on thursday arriving in atlanta before 6 pm,travel
4718, please list the friday flights from houston to milwaukee on american airlines in the evening,travel
4719, i would like to fly from pittsburgh to atlanta,travel
4720, show me all the flights from denver to las vegas,travel
4721, what flights from denver to salt lake city,travel
4722, i need a list of late afternoon flights from chicago to milwaukee,travel
4723, i'd like to find the cheapest flight from washington dc to atlanta,travel
4724, please list all flights on united airlines out of denver before noon,travel
4725, in denver what kind of ground transportation is there from the airport to downtown,travel
4726, show me the lowest priced fare from dallas to baltimore,travel
4727, what flights are there tuesday morning from dallas to atlanta,travel
4728, show me the fare for delta flight 296 from atlanta to philadelphia,travel
4729, list the three earliest flights from atlanta to philadelphia on wednesday,travel
4730, from montreal to las vegas,travel
4731, can you list flights from washington to toronto with the lowest one way fares,travel
4732, what are the round trip flights from philadelphia to san francisco,travel
4733, show me all us air flights from atlanta to denver for the day after tomorrow,travel
4734, show flights on us air from pittsburgh to oakland connecting through denver,travel
4735, a listing of all flights from boston to baltimore before 10 am on thursday,travel
4736, what airport in new york is closest to downtown,travel
4737, what flights are there from tampa to charlotte,travel
4738, what is the earliest flight from boston to philadelphia,travel
